,level_0,index,zcr,spectral_c,rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,name,Emotions
0,0,0,3869,1461.6943941880381,2909.2662464488635,-344.07016,123.57847,-12.137379,41.17715,-2.9056063,13.556086,-17.609064,-5.01408,-8.538193,-4.9590373,-8.8724575,-4.3968935,-1.3332745,-14.977488,8.471259,-12.35498,-8.076804,-2.2819483,-4.05767,-6.4806347,1001_DFA_ANG_XX,angry
1,1,1,3531,1405.4866649450357,2775.224802753713,-391.15695,137.4785,-20.730135,55.133484,-1.3626163,22.416723,-22.356289,5.0377474,-8.43262,-5.3145466,-5.408142,-8.455474,2.1690435,-15.3882475,5.788134,-15.657177,-3.9365299,-3.0401182,-4.7089663,-6.222461,1001_DFA_DIS_XX,disgust
2,2,2,2929,1367.7364401188095,2738.1529463098404,-353.69714,117.784874,-5.0768113,34.02081,4.9507027,11.0706,-16.034912,-1.4904951,-5.4291964,-5.8566766,-10.2912035,-6.6939735,-2.2825627,-12.420956,2.7493923,-11.476346,-6.374039,-4.5962443,-5.187902,-6.6599045,1001_DFA_FEA_XX,fear
3,3,3,2618,1431.8796486602866,2894.487847222222,-339.7664,122.683655,-14.825016,41.13829,3.8039234,9.775388,-20.466356,-1.6741397,-7.89754,-8.80945,-12.417223,-5.1567945,-0.8996639,-16.725868,5.0661893,-12.094768,-7.267103,-3.3974018,-4.444639,-6.4976263,1001_DFA_HAP_XX,happy
4,4,4,2741,1372.7325140225912,2818.402654474432,-370.0316,126.838776,-6.6789293,40.75021,6.4218736,12.087253,-11.939016,-4.2583966,-8.134416,-7.405811,-7.5851917,-3.032992,-2.3577316,-11.126751,6.953789,-11.519061,-6.573707,-3.3627295,-5.0048885,-3.369909,1001_DFA_NEU_XX,neutral
5,5,5,2825,1373.6836216654162,2771.100484913793,-410.83337,140.18608,-18.120987,59.71845,-0.7070181,25.617403,-21.792582,5.52083,-8.076582,-5.2206826,-5.3842626,-8.134719,1.2351938,-15.621543,6.9431553,-17.177048,-3.5049136,-4.1745515,-5.275614,-2.8299038,1001_DFA_SAD_XX,sad
6,6,6,3728,1588.743064958938,3222.418212890625,-306.35742,122.27137,-13.583427,31.504715,-18.522211,8.984011,-8.147588,-5.201982,-9.867783,-6.2331686,-10.476622,1.3223053,-3.899319,-17.174171,8.084099,-18.454298,-6.036868,-5.164309,-9.819074,-3.0121434,1001_IEO_ANG_HI,angry
7,7,7,2672,1275.3977464982247,2693.3251953125,-398.7984,141.6299,-9.388401,42.363434,-5.47815,17.7092,-10.385208,0.5323779,-5.8721333,-5.327172,-7.7124524,-3.4039304,0.12253706,-15.1394205,3.4454563,-16.778477,-2.4297335,-3.0044928,-9.032693,-2.1665795,1001_IEO_ANG_LO,angry
8,8,8,4379,1397.9233781932298,2861.7438065378287,-379.60242,149.52866,-19.196394,47.331684,-18.632217,20.605074,-12.403073,-1.1799647,-13.239932,-4.289929,-5.74473,-0.95153224,-1.795261,-18.721447,8.547558,-19.555216,-1.2113422,-5.0075045,-7.181483,-1.5267882,1001_IEO_ANG_MD,angry
9,9,9,3481,1527.0127048541626,3253.1224744073274,-352.55627,127.588875,-18.596506,40.658447,-9.548224,11.774897,-11.364425,-3.7246575,-7.1920652,-3.2486022,-7.08249,-2.6216352,-1.643814,-13.150838,4.298748,-17.864012,-1.6180758,-1.8061869,-9.061919,-5.9115753,1001_IEO_DIS_HI,disgust
10,10,10,2592,1292.3874276537567,2702.4169921875,-455.71497,160.61783,-23.82118,60.10782,-22.622894,36.091618,-17.023743,17.111055,-12.550843,-6.273259,-2.6767826,-8.236126,1.9193126,-18.567999,7.338101,-19.739555,0.05490116,-7.993185,-4.018845,-4.7627,1001_IEO_DIS_LO,disgust
11,11,11,2933,1436.3670730829265,2994.6908346036585,-398.8259,139.43996,-9.823697,41.53503,-12.492742,22.133675,-10.297012,2.0790753,-11.459128,-5.015519,-4.1594667,-3.1610174,-1.2857214,-13.506623,5.534764,-18.893288,-1.0237194,-4.6819124,-5.889314,-2.7891324,1001_IEO_DIS_MD,disgust
12,12,12,2556,1459.4441159812675,2864.3910127527574,-309.1275,115.58674,-10.326195,26.601074,-8.916734,8.526768,-8.870542,-3.2495556,-8.995911,-8.82013,-9.578605,-0.3541147,-2.4657202,-10.414323,4.8089643,-18.25441,-6.425396,-2.8676205,-4.6216474,-4.79899,1001_IEO_FEA_HI,fear
13,13,13,2497,1425.4421703429746,2883.1994811100744,-383.35165,135.07344,-6.7530503,43.732147,-13.119804,20.132727,-9.293916,2.1525574,-11.4615755,-8.248801,-6.154331,0.22609977,2.1579864,-13.76269,6.475128,-16.807135,-4.5577464,-7.4378004,-6.485872,-5.056186,1001_IEO_FEA_LO,fear
14,14,14,2815,1481.3519913942482,3007.7827785326085,-355.44452,133.57083,-14.305562,40.829994,-14.768122,14.921205,-10.855269,2.5111864,-10.558099,-7.734643,-7.642885,-2.0562568,-0.088769026,-15.6282425,6.08035,-18.1919,-5.4438763,-5.156327,-6.719276,-4.4391294,1001_IEO_FEA_MD,fear
15,15,15,3794,1672.582502963869,3355.6840376420455,-278.23785,120.51247,-33.137974,29.102495,-22.13931,11.555465,-16.690037,-2.8182702,-13.142684,-8.484354,-8.301109,-1.143099,-1.0512196,-17.6385,7.726498,-17.18666,-2.8239565,-4.032244,-5.6402316,-1.0690792,1001_IEO_HAP_HI,happy
16,16,16,2541,1397.6488757676166,3038.5095544763512,-389.32437,140.01248,-13.868906,48.201202,-13.264639,21.4545,-8.662137,-0.6842815,-10.250476,-7.3685837,-6.4692583,-1.1421397,-1.270816,-15.062439,7.7033906,-17.66955,-3.377854,-4.570356,-6.8179364,-2.8287883,1001_IEO_HAP_LO,happy
